item_id (position) (unique id for each product), product_name (Name of product), department_name, price (cost to customer), stock_quantity (quantity) (how much of the product is available in stores)
1,Bing Crosby,White Christmas,1942,39.903
2,Bill Haley,Rock Around the Clock,1955,36.503
3,Celine Dion,My Heart Will Go On,1998,35.405
4,Sinead O'Conn,Nothing Compares 2 U,1990,35.135
5,The Beatles,Hey Jude,1968,34.442
6,Bryan Adams,(Everything I Do) I Do it For You,1991,34.367
7,Whitney Houst,I Will Always Love You,1992,34.112
8,Pink Floyd,Another Brick in the Wall (part 2),1980,32.02
9,Irene Cara,Flashdance... What a Feeling,1983,31.305
10,Elton John,Candle in the Wind '97,1997,31.054
11,The Rolling St,(I Can't Get No) Satisfaction,1965,31.054
